durations
1937
1533
3314
2388
1357
662
1636
2948
2264
2036
1622
642
2412
2073
1906
1835
2031
1401
2466
1608
27000
1676
2783
3631
1441
2846
782
896
2088
2366
498
2559
2247
1427
928
1409
908
2648
1931
3538
953
1278
1531
1327
2036
3808
1507
2365
2089
2257
1821
1784
978
2231
1754
1412
1185
1900
1005
1857
1163
3050
1440
811
437
1214
1492
1008
1468
2823
882
3286
1115
1643
1319
1277
2449
2158
1608
679
613
2513
2853
816
2625
1901
1403
753
2159
1162
1898
2099
1592
652
1501
659
2585
1515
1111
1970
849
1841
2411
1981
2847
1725
1147
2121
2225
1664
2186
825
2704
1483
1189
1260
886
3518
721
1837
1999
559
1771
2388
1306
1205
4218
963
1864
983
797
3084
1981
922
1190
1486
730
1383
1931
1277
2061
1927
1911
1517
588
2153
916
441
27000
27000
2095
1740
1341
1420
2481
1609
1810
2711
1704
1267
2676
2452
2558
27000
1811
3067
1072
27000
1526
1974
1301
1135
2525
5073
1380
1301
3314
1577
2101
1786
2071
2676
4941
1896
1086
963
1062
1689
1218
1606
1650
978
2421
2171
27000
1237
1786
2371
1430
1699
885
1170
27000
1587
552
1313
1281
1283
27000
1854
2649
1047
1856
2903
3500
2746
5488
2482
1471
2421
3923
2023
2445
5091
4301
3295
2226
1714
2947
2677
3170
2054
3020
4130
1500
1986
1895
4415
2530
4633
4400
6084
20734
2759
2257
4040
1709
1696
2012
2141
2862
1515
2175
1730
2171
1093
4218
1617
3188
2956
2551
1644
1686
3178
7155
2887
3572
3592
2222
1216
2295
2006
1473
2350
1250
2035
1795
1838
2119
2357
1730
2929
2465
2993
1533
2062
1869
1489
3617
2313
5276
4099
2631
2911
2870
3230
2786
3363
3433
2371
1549
2401
2047
2964
1742
2483
3080
3737
3256
2604
4314
2080
1018
1332
3718
4496
1809
1466
3127
2055
1100
4011
1634
2078
1570
2072
1264
2464
1676
2447
3141
3342
2368
1306
1431
3287
3466
2618
3927
2436
3320
3568
2622
3474
3830
4903
5290
2486
2001
2752
2556
1321
3272
1073
1245
4549
2283
1763
844
2449
3065
1930
1034
1042
1411
1538
3318
3942
4667
4159
1818
3373
1741
1416
3633
2079
4125
2466
1361
1437
2725
1702
798
1472
4031
2612
4641
1429
878
2614
3978
1283
3085
1480
1708
3486
1706
1779
1205
1663
1663
2429
2297
2061
1557
1393
3266
2909
4460
2084
3020
4083
1802
1882
1585
2882
2431
3224
1703
3267
1644
1304
2967
1709
3357
3110
2587
1611
4319
2094
751
3118
3331
3745
1494
2255
2888
1491
2420
1886
1713
1397
2143
4445
1524
4892
2316
1422
1785
975
2805
2297
2033
4099
3715
4814
2349
1505
2233
2373
1261
1652
980
1304
1189
875
936
645
1100
1039
1051
728
2537
1833
1180
1794
942
1342
936
1028
2124
2568
1360
3329
3313
27000
1658
2144
2193
2388
1923
1615
1467
2412
1380
900
1402
2904
4556
2353
2869
3768
2305
27000
2181
3841
719
1485
1743
1497
2201
2613
1393
2232
1764
2705
1290
2592
2177
2119
3107
3163
5213
980
1807
3475
2602
3574
1493
3831
987
1118
5527
1967
819
2335
1454
3301
2358
3516
1754
1341
2002
3220
2695
1107
2069
1210
2338
2133
1641
883
1343
784
1049
2258
3266
1564
1621
2467
957
1939
1468
2715
1674
1612
1576
2454
1130
1369
1738
973
1702
1325
471
1822
389
837
865
2694
3012
1939
972
948
1410
1599
2454
1323
1394
978
2230
1917
1082
2357
2002
1906
2347
1311
799
1437
3318
2235
2212
1701
1926
1669
1423
2956
1738
2244
1086
596
1496
3180
1827
2056
2530
1044
2528
1769
1773
2511
2143
2312
1603
1816
1002
1663
2019
1154
541
686
1572
1779
2077
3029
1079
1931
1527
2192
1027
2618
1882
1381
655
1278
1944
1391
1694
1662
847
2219
929
1101
1884
1413
847
1580
2522
2471
2195
1797
448
2786
1045
1941
1844
788
846
2119
979
1524
1255
1779
1014
6654
1337
2190
3018
554
1737
795
2603
2621
1909
2592
2102
1843
2702
1876
710
2275
1249
1766
1782
1238
2955
2346
3303
1190
2127
1050
2887
528
1484
1251
1942
1221
2987
1517
3220
4617
1845
2462
2124
2860
1258
3182
27000
1763
1126
2631
934
1314
476
2325
946
1316
2480
1532
1201
1596
1195
933
1010
1371
1326
1266
2155
1353
1355
1473
2312
3332
4236
1237
3886
2564
4022
1637
494
1224
1388
3947
1002
3109
1789
3765
2947
1680
1658
1631
610
1569
3036
1741
1980
2375
3306
1404
2057
1805
1860
1889
2617
2262
2062
2842
2369
637
1915
1016
1369
2590
2370
1029
2503
1341
897
2058
2715
1474
3155
2391
1397
590
968
1916
3661
2215
1122
2556
2171
1661
1325
2632
1952
1237
1176
1545
1214
2151
1907
1522
2272
2282
1864
1394
828
1016
1780
901
1915
1113
587
704
1208
1560
647
1033
1244
1044
664
1550
951
2079
939
2001
1341
467
1450
450
363
596
1133
1443
2367
847
1587
1931
947
1359
1174
1059
680
643
1253
1647
913
1439
572
2260
1074
602
2255
469
583
574
834
878
1407
1039
909
1469
1091
471
1040
644
682
1216
720
884
884
597
407
1871
849
634
1387
528
929
1130
475
2000
1431
1414
700
1253
1732
987
661
594
843
1072
318
895
803
665
803
574
901
901
542
568
1294
644
813
965
1100
890
1387
751
1355
897
649
1056
690
980
1219
926
666
1092
1051
912
911
713
681
553
998
950
504
913
962
1049
1013
899
1073
705
707
555
1018
637
586
836
2108
861
596
1121
808
1101
961
1037
676
1075
624
622
1226
1144
889
905
1236
1343
